지점번호,지점,일시,기온,강수량
108,서울,2017-03-01 00,5.2,,
108,서울,2017-03-01 01,4.6,,
108,서울,2017-03-01 02,4.5,,
108,서울,2017-03-01 03,4.2,,
108,서울,2017-03-01 04,3.7,,
108,서울,2017-03-01 05,3.3,,
108,서울,2017-03-01 06,3.2,,
108,서울,2017-03-01 07,3.1,,
108,서울,2017-03-01 08,3.2,,
108,서울,2017-03-01 09,4.2,,
108,서울,2017-03-01 10,5.8,,
108,서울,2017-03-01 11,8.0,,
108,서울,2017-03-01 12,9.6,,
108,서울,2017-03-01 13,11.4,,
108,서울,2017-03-01 14,10.7,,
108,서울,2017-03-01 15,10.3,,
108,서울,2017-03-01 16,8.2,,
108,서울,2017-03-01 17,4.6,,
108,서울,2017-03-01 18,3.7,0.5,
108,서울,2017-03-01 19,3.3,,
108,서울,2017-03-01 20,3.1,,
108,서울,2017-03-01 21,2.7,3.5,
108,서울,2017-03-01 22,2.5,,
108,서울,2017-03-01 23,2.3,,
108,서울,2017-03-02 00,2.0,1.0,
108,서울,2017-03-02 01,1.9,,
108,서울,2017-03-02 02,1.3,,
108,서울,2017-03-02 03,1.2,0.5,
108,서울,2017-03-02 04,0.9,,
108,서울,2017-03-02 05,1.1,,
108,서울,2017-03-02 06,1.0,,
108,서울,2017-03-02 07,0.2,,
108,서울,2017-03-02 08,-0.6,,
108,서울,2017-03-02 09,-0.1,,
108,서울,2017-03-02 10,0.4,,
108,서울,2017-03-02 11,1.9,,
108,서울,2017-03-02 12,3.8,,
108,서울,2017-03-02 13,4.1,,
108,서울,2017-03-02 14,5.4,,
108,서울,2017-03-02 15,5.5,,
108,서울,2017-03-02 16,5.8,,
108,서울,2017-03-02 17,5.9,,
108,서울,2017-03-02 18,3.7,,
108,서울,2017-03-02 19,2.3,,
108,서울,2017-03-02 20,1.3,,
108,서울,2017-03-02 21,0.7,,
108,서울,2017-03-02 22,-0.2,,
108,서울,2017-03-02 23,-0.8,,
108,서울,2017-03-03 00,-1.1,,
108,서울,2017-03-03 01,-1.6,,
108,서울,2017-03-03 02,-1.7,,
108,서울,2017-03-03 03,-1.9,,
108,서울,2017-03-03 04,-2.4,,
108,서울,2017-03-03 05,-2.5,,
108,서울,2017-03-03 06,-2.7,,
108,서울,2017-03-03 07,-3.0,,
108,서울,2017-03-03 08,-2.2,,
108,서울,2017-03-03 09,0.4,,
108,서울,2017-03-03 10,3.8,,
108,서울,2017-03-03 11,5.9,,
108,서울,2017-03-03 12,7.3,,
108,서울,2017-03-03 13,8.7,,
108,서울,2017-03-03 14,9.6,,
108,서울,2017-03-03 15,9.7,,
108,서울,2017-03-03 16,9.9,,
108,서울,2017-03-03 17,8.6,,
108,서울,2017-03-03 18,6.9,,
108,서울,2017-03-03 19,5.6,,
108,서울,2017-03-03 20,5.0,,
108,서울,2017-03-03 21,4.3,,
108,서울,2017-03-03 22,3.6,,
108,서울,2017-03-03 23,3.2,,
108,서울,2017-03-04 00,2.7,,
108,서울,2017-03-04 01,2.2,,
108,서울,2017-03-04 02,1.8,,
108,서울,2017-03-04 03,1.5,,
108,서울,2017-03-04 04,1.3,,
108,서울,2017-03-04 05,1.0,,
108,서울,2017-03-04 06,0.5,,
108,서울,2017-03-04 07,0.1,,
108,서울,2017-03-04 08,0.4,,
108,서울,2017-03-04 09,2.9,,
108,서울,2017-03-04 10,6.3,,
108,서울,2017-03-04 11,7.9,,
108,서울,2017-03-04 12,9.6,,
108,서울,2017-03-04 13,11.5,,
108,서울,2017-03-04 14,12.0,,
108,서울,2017-03-04 15,12.5,,
108,서울,2017-03-04 16,11.0,,
108,서울,2017-03-04 17,10.5,,
108,서울,2017-03-04 18,9.3,,
108,서울,2017-03-04 19,7.6,,
108,서울,2017-03-04 20,6.6,,
108,서울,2017-03-04 21,5.8,,
108,서울,2017-03-04 22,5.0,,
108,서울,2017-03-04 23,4.2,,
108,서울,2017-03-05 00,3.6,,
108,서울,2017-03-05 01,2.9,,
108,서울,2017-03-05 02,2.5,,
108,서울,2017-03-05 03,2.2,,
108,서울,2017-03-05 04,1.9,,
108,서울,2017-03-05 05,1.6,,
108,서울,2017-03-05 06,1.4,,
108,서울,2017-03-05 07,1.3,,
108,서울,2017-03-05 08,1.5,,
108,서울,2017-03-05 09,2.8,,
108,서울,2017-03-05 10,5.4,,
108,서울,2017-03-05 11,6.9,,
108,서울,2017-03-05 12,8.8,,
108,서울,2017-03-05 13,9.5,,
108,서울,2017-03-05 14,9.7,,
108,서울,2017-03-05 15,10.0,,
108,서울,2017-03-05 16,8.9,,
108,서울,2017-03-05 17,8.1,,
108,서울,2017-03-05 18,7.1,,
108,서울,2017-03-05 19,6.2,,
108,서울,2017-03-05 20,5.5,,
108,서울,2017-03-05 21,5.0,0.0,
108,서울,2017-03-05 22,4.4,,
108,서울,2017-03-05 23,4.3,,
108,서울,2017-03-06 00,4.0,0.5,
108,서울,2017-03-06 01,2.0,,
108,서울,2017-03-06 02,0.7,,
108,서울,2017-03-06 03,-0.3,,
108,서울,2017-03-06 04,-1.1,,
108,서울,2017-03-06 05,-1.7,,
108,서울,2017-03-06 06,-2.3,,
108,서울,2017-03-06 07,-2.7,,
