LocNumber,Loc,Date,Temp,Prec
108,서울,2017-05-01 00,15.1,,
108,서울,2017-05-01 01,14.6,,
108,서울,2017-05-01 02,14.2,,
108,서울,2017-05-01 03,13.8,,
108,서울,2017-05-01 04,13.4,,
108,서울,2017-05-01 05,13.1,,
108,서울,2017-05-01 06,12.8,,
108,서울,2017-05-01 07,13.7,,
108,서울,2017-05-01 08,16.6,,
108,서울,2017-05-01 09,19.4,,
108,서울,2017-05-01 10,21.5,,
108,서울,2017-05-01 11,23.1,,
108,서울,2017-05-01 12,24.7,,
108,서울,2017-05-01 13,26.3,,
108,서울,2017-05-01 14,27.4,,
108,서울,2017-05-01 15,27.8,,
108,서울,2017-05-01 16,28.1,,
108,서울,2017-05-01 17,26.7,,
108,서울,2017-05-01 18,24.4,,
108,서울,2017-05-01 19,22.7,,
108,서울,2017-05-01 20,21.3,,
108,서울,2017-05-01 21,20.3,,
108,서울,2017-05-01 22,19.3,,
108,서울,2017-05-01 23,18.6,,
108,서울,2017-05-02 00,17.8,,
108,서울,2017-05-02 01,17.1,,
108,서울,2017-05-02 02,16.3,,
108,서울,2017-05-02 03,15.9,,
108,서울,2017-05-02 04,15.7,,
108,서울,2017-05-02 05,15.5,,
108,서울,2017-05-02 06,15.3,,
108,서울,2017-05-02 07,15.3,,
108,서울,2017-05-02 08,17.0,,
108,서울,2017-05-02 09,19.8,,
108,서울,2017-05-02 10,22.2,,
108,서울,2017-05-02 11,24.0,,
108,서울,2017-05-02 12,25.4,,
108,서울,2017-05-02 13,27.1,,
108,서울,2017-05-02 14,26.8,,
108,서울,2017-05-02 15,27.7,,
108,서울,2017-05-02 16,26.6,,
108,서울,2017-05-02 17,24.8,,
108,서울,2017-05-02 18,23.5,,
108,서울,2017-05-02 19,21.6,,
108,서울,2017-05-02 20,20.1,,
108,서울,2017-05-02 21,19.4,,
108,서울,2017-05-02 22,19.2,,
108,서울,2017-05-02 23,18.8,,
108,서울,2017-05-03 00,18.4,,
108,서울,2017-05-03 01,17.6,,
108,서울,2017-05-03 02,16.8,,
108,서울,2017-05-03 03,16.1,,
108,서울,2017-05-03 04,15.4,,
108,서울,2017-05-03 05,14.8,,
