관측분야 : 지상기상관측
조회기간 : 임의기간& #40;시별& #41;: 2017-10-01 00시 ~ 2017-10-31 23시
관측지점 : 서울& #40;108& #41;
출력기후요소 : 기온,강수량

지점번호,지점,일시,기온 (℃),시간강수량 (mm),
원시자료
108,서울,2017-10-01 00,18.4,,
108,서울,2017-10-01 01,18.0,,
108,서울,2017-10-01 02,17.9,,
108,서울,2017-10-01 03,17.7,,
108,서울,2017-10-01 04,17.5,,
108,서울,2017-10-01 05,17.3,,
108,서울,2017-10-01 06,17.4,,
108,서울,2017-10-01 07,17.3,,
108,서울,2017-10-01 08,17.6,,
108,서울,2017-10-01 09,19.3,,
108,서울,2017-10-01 10,20.5,,
108,서울,2017-10-01 11,20.5,0.0,
108,서울,2017-10-01 12,21.1,0.0,
108,서울,2017-10-01 13,19.5,0.4,
108,서울,2017-10-01 14,18.8,1.1,
108,서울,2017-10-01 15,19.1,0.0,
108,서울,2017-10-01 16,18.5,0.0,
108,서울,2017-10-01 17,18.8,0.0,
108,서울,2017-10-01 18,18.5,,
108,서울,2017-10-01 19,18.3,,
108,서울,2017-10-01 20,17.4,0.5,
108,서울,2017-10-01 21,16.5,0.0,
108,서울,2017-10-01 22,15.7,0.5,
108,서울,2017-10-01 23,15.5,0.5,
108,서울,2017-10-02 00,15.6,1.0,
108,서울,2017-10-02 01,15.9,0.5,
108,서울,2017-10-02 02,16.1,0.5,
108,서울,2017-10-02 03,16.3,0.5,
108,서울,2017-10-02 04,16.5,0.0,
108,서울,2017-10-02 05,16.7,,
108,서울,2017-10-02 06,17.0,,
108,서울,2017-10-02 07,16.9,,
108,서울,2017-10-02 08,17.8,,
108,서울,2017-10-02 09,20.5,,
108,서울,2017-10-02 10,23.1,,
108,서울,2017-10-02 11,24.9,,
108,서울,2017-10-02 12,26.4,,
108,서울,2017-10-02 13,27.4,,
108,서울,2017-10-02 14,28.0,,
108,서울,2017-10-02 15,29.0,,
108,서울,2017-10-02 16,28.9,,
108,서울,2017-10-02 17,27.7,,
108,서울,2017-10-02 18,25.8,,
108,서울,2017-10-02 19,24.4,,
108,서울,2017-10-02 20,23.0,,
108,서울,2017-10-02 21,21.9,,
108,서울,2017-10-02 22,21.0,,
108,서울,2017-10-02 23,20.0,,
108,서울,2017-10-03 00,19.0,,
108,서울,2017-10-03 01,17.7,,
108,서울,2017-10-03 02,16.6,,
108,서울,2017-10-03 03,15.7,,
108,서울,2017-10-03 04,15.2,,
108,서울,2017-10-03 05,14.5,,
108,서울,2017-10-03 06,14.1,,
108,서울,2017-10-03 07,13.4,,
108,서울,2017-10-03 08,14.1,,
108,서울,2017-10-03 09,16.0,,
108,서울,2017-10-03 10,19.0,,
108,서울,2017-10-03 11,20.3,,
108,서울,2017-10-03 12,21.8,,
108,서울,2017-10-03 13,22.7,,
108,서울,2017-10-03 14,23.2,,
108,서울,2017-10-03 15,22.9,,
108,서울,2017-10-03 16,21.7,,
108,서울,2017-10-03 17,20.7,,
108,서울,2017-10-03 18,19.5,,
108,서울,2017-10-03 19,18.0,,
108,서울,2017-10-03 20,17.2,,
108,서울,2017-10-03 21,16.5,,
108,서울,2017-10-03 22,16.0,,
108,서울,2017-10-03 23,15.1,,
108,서울,2017-10-04 00,14.1,,
108,서울,2017-10-04 01,13.4,,
108,서울,2017-10-04 02,12.5,,
108,서울,2017-10-04 03,12.1,,
108,서울,2017-10-04 04,11.6,,
108,서울,2017-10-04 05,11.2,,
108,서울,2017-10-04 06,10.8,,
108,서울,2017-10-04 07,10.7,,
108,서울,2017-10-04 08,11.8,,
108,서울,2017-10-04 09,15.2,,
108,서울,2017-10-04 10,18.0,,
108,서울,2017-10-04 11,19.9,,
108,서울,2017-10-04 12,21.7,,
108,서울,2017-10-04 13,23.6,,
108,서울,2017-10-04 14,24.2,,
108,서울,2017-10-04 15,22.7,,
108,서울,2017-10-04 16,22.3,,
108,서울,2017-10-04 17,20.9,,
108,서울,2017-10-04 18,19.2,,
108,서울,2017-10-04 19,18.2,,
108,서울,2017-10-04 20,17.4,,
108,서울,2017-10-04 21,16.8,,
108,서울,2017-10-04 22,16.1,,
108,서울,2017-10-04 23,15.7,,
108,서울,2017-10-05 00,15.4,,
108,서울,2017-10-05 01,15.2,,
108,서울,2017-10-05 02,15.0,,
108,서울,2017-10-05 03,14.7,,
108,서울,2017-10-05 04,14.3,,
108,서울,2017-10-05 05,14.1,,
108,서울,2017-10-05 06,13.9,,
108,서울,2017-10-05 07,13.9,,
108,서울,2017-10-05 08,15.1,,
108,서울,2017-10-05 09,17.5,,
108,서울,2017-10-05 10,19.8,,
108,서울,2017-10-05 11,21.0,,
108,서울,2017-10-05 12,22.5,,
108,서울,2017-10-05 13,23.0,,
108,서울,2017-10-05 14,23.3,,
108,서울,2017-10-05 15,22.6,,
108,서울,2017-10-05 16,21.9,,
108,서울,2017-10-05 17,21.2,,
108,서울,2017-10-05 18,20.5,,
108,서울,2017-10-05 19,20.1,,
108,서울,2017-10-05 20,19.7,,
108,서울,2017-10-05 21,19.3,,
108,서울,2017-10-05 22,19.1,,
108,서울,2017-10-05 23,18.6,,
108,서울,2017-10-06 00,18.2,,
108,서울,2017-10-06 01,17.9,,
108,서울,2017-10-06 02,17.5,,
108,서울,2017-10-06 03,17.2,,
108,서울,2017-10-06 04,16.7,,
108,서울,2017-10-06 05,16.2,,
108,서울,2017-10-06 06,16.3,,
108,서울,2017-10-06 07,16.3,,
108,서울,2017-10-06 08,17.5,,
108,서울,2017-10-06 09,20.0,,
108,서울,2017-10-06 10,21.8,,
108,서울,2017-10-06 11,23.1,,
108,서울,2017-10-06 12,23.1,,
108,서울,2017-10-06 13,21.5,,
108,서울,2017-10-06 14,20.2,,
108,서울,2017-10-06 15,20.0,,
108,서울,2017-10-06 16,19.9,,
108,서울,2017-10-06 17,19.6,,
108,서울,2017-10-06 18,19.2,,
108,서울,2017-10-06 19,18.9,,
108,서울,2017-10-06 20,18.5,0.0,
108,서울,2017-10-06 21,18.4,0.0,
108,서울,2017-10-06 22,17.7,0.0,
108,서울,2017-10-06 23,17.1,0.4,
108,서울,2017-10-07 00,17.0,0.1,
108,서울,2017-10-07 01,17.1,0.0,
108,서울,2017-10-07 02,17.1,0.0,
108,서울,2017-10-07 03,17.2,0.0,
108,서울,2017-10-07 04,17.1,,
108,서울,2017-10-07 05,17.1,,
108,서울,2017-10-07 06,17.0,,
108,서울,2017-10-07 07,17.0,,
108,서울,2017-10-07 08,17.5,,
108,서울,2017-10-07 09,18.8,,
108,서울,2017-10-07 10,20.5,,
108,서울,2017-10-07 11,22.9,,
108,서울,2017-10-07 12,25.5,,
108,서울,2017-10-07 13,26.4,,
108,서울,2017-10-07 14,27.3,,
108,서울,2017-10-07 15,28.3,,
108,서울,2017-10-07 16,27.0,,
108,서울,2017-10-07 17,25.8,,
108,서울,2017-10-07 18,25.0,,
108,서울,2017-10-07 19,23.4,,
108,서울,2017-10-07 20,22.5,,
108,서울,2017-10-07 21,22.1,,
108,서울,2017-10-07 22,21.8,,
108,서울,2017-10-07 23,21.5,,
108,서울,2017-10-08 00,21.4,,
108,서울,2017-10-08 01,21.2,,
108,서울,2017-10-08 02,21.1,,
108,서울,2017-10-08 03,20.8,,
108,서울,2017-10-08 04,20.4,,
108,서울,2017-10-08 05,19.8,,
108,서울,2017-10-08 06,19.7,,
108,서울,2017-10-08 07,19.3,,
108,서울,2017-10-08 08,20.4,,
108,서울,2017-10-08 09,22.6,,
108,서울,2017-10-08 10,24.6,,
108,서울,2017-10-08 11,25.6,,
108,서울,2017-10-08 12,26.2,,
