LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-01 00,0.2,
108,서울,2017-01-01 01,0.0,
108,서울,2017-01-01 02,-0.3,
108,서울,2017-01-01 03,-0.7,
108,서울,2017-01-01 04,-1.1,
108,서울,2017-01-01 05,-1.4,
108,서울,2017-01-01 06,-1.5,
108,서울,2017-01-01 07,-1.5,
108,서울,2017-01-01 08,-1.3,
108,서울,2017-01-01 09,-0.4,
108,서울,2017-01-01 10,0.8,
108,서울,2017-01-01 11,2.5,
108,서울,2017-01-01 12,4.0,
108,서울,2017-01-01 13,5.1,
108,서울,2017-01-01 14,6.7,
108,서울,2017-01-01 15,6.9,
108,서울,2017-01-01 16,6.8,
108,서울,2017-01-01 17,6.5,
108,서울,2017-01-01 18,5.6,
108,서울,2017-01-01 19,4.8,
108,서울,2017-01-01 20,4.2,
108,서울,2017-01-01 21,4.0,
108,서울,2017-01-01 22,3.9,
108,서울,2017-01-01 23,3.9,
108,서울,2017-01-02 00,3.9,
108,서울,2017-01-02 01,3.9,
108,서울,2017-01-02 02,3.8,
108,서울,2017-01-02 03,3.7,
108,서울,2017-01-02 04,3.7,
108,서울,2017-01-02 05,3.7,
108,서울,2017-01-02 06,3.6,0.3
108,서울,2017-01-02 07,3.6,
108,서울,2017-01-02 08,3.8,
108,서울,2017-01-02 09,4.1,0.0
108,서울,2017-01-02 10,5.2,
108,서울,2017-01-02 11,6.3,
108,서울,2017-01-02 12,7.6,
108,서울,2017-01-02 13,8.1,
108,서울,2017-01-02 14,9.2,
108,서울,2017-01-02 15,8.3,
108,서울,2017-01-02 16,8.0,
108,서울,2017-01-02 17,7.1,
108,서울,2017-01-02 18,6.4,
108,서울,2017-01-02 19,6.0,
108,서울,2017-01-02 20,5.0,
108,서울,2017-01-02 21,4.3,
108,서울,2017-01-02 22,3.7,
108,서울,2017-01-02 23,2.8,
108,서울,2017-01-03 00,1.8,
108,서울,2017-01-03 01,1.0,
108,서울,2017-01-03 02,0.2,
108,서울,2017-01-03 03,-0.7,
108,서울,2017-01-03 04,-1.0,
108,서울,2017-01-03 05,-1.3,
108,서울,2017-01-03 06,-1.8,
108,서울,2017-01-03 07,-2.1,
108,서울,2017-01-03 08,-2.1,
108,서울,2017-01-03 09,-1.4,
108,서울,2017-01-03 10,1.1,
108,서울,2017-01-03 11,4.1,
