지점번호,지점,일시,기온,강수량
108,서울,2017-04-01 00,4.9,
108,서울,2017-04-01 01,5.1,
108,서울,2017-04-01 02,5.7,
108,서울,2017-04-01 03,5.7,
108,서울,2017-04-01 04,5.5,
108,서울,2017-04-01 05,5.6,
108,서울,2017-04-01 06,5.6,
108,서울,2017-04-01 07,5.4,
108,서울,2017-04-01 08,6.6,
108,서울,2017-04-01 09,8.7,
108,서울,2017-04-01 10,9.3,
108,서울,2017-04-01 11,9.9,
108,서울,2017-04-01 12,11.7,
108,서울,2017-04-01 13,12.9,
108,서울,2017-04-01 14,13.2,
108,서울,2017-04-01 15,14.8,
108,서울,2017-04-01 16,9.5,1.0
108,서울,2017-04-01 17,12.1,0.0
108,서울,2017-04-01 18,11.7,
108,서울,2017-04-01 19,10.2,
108,서울,2017-04-01 20,9.2,
108,서울,2017-04-01 21,8.4,
108,서울,2017-04-01 22,7.3,
108,서울,2017-04-01 23,5.9,
108,서울,2017-04-02 00,5.3,
108,서울,2017-04-02 01,4.9,
108,서울,2017-04-02 02,4.6,
108,서울,2017-04-02 03,4.2,
108,서울,2017-04-02 04,4.0,
108,서울,2017-04-02 05,3.3,
108,서울,2017-04-02 06,3.1,
108,서울,2017-04-02 07,3.2,
108,서울,2017-04-02 08,4.9,
108,서울,2017-04-02 09,7.7,
108,서울,2017-04-02 10,10.1,
108,서울,2017-04-02 11,12.3,
108,서울,2017-04-02 12,13.5,
108,서울,2017-04-02 13,14.2,
108,서울,2017-04-02 14,15.0,
108,서울,2017-04-02 15,15.1,
108,서울,2017-04-02 16,15.5,
108,서울,2017-04-02 17,14.2,
108,서울,2017-04-02 18,12.7,
108,서울,2017-04-02 19,10.7,
108,서울,2017-04-02 20,9.5,
108,서울,2017-04-02 21,8.6,
108,서울,2017-04-02 22,8.1,
108,서울,2017-04-02 23,7.5,
108,서울,2017-04-03 00,7.1,
108,서울,2017-04-03 01,6.4,
108,서울,2017-04-03 02,6.0,
108,서울,2017-04-03 03,5.5,
108,서울,2017-04-03 04,5.0,
108,서울,2017-04-03 05,4.9,
108,서울,2017-04-03 06,4.4,
108,서울,2017-04-03 07,4.5,
108,서울,2017-04-03 08,6.4,
108,서울,2017-04-03 09,9.2,
108,서울,2017-04-03 10,11.7,
108,서울,2017-04-03 11,13.8,
108,서울,2017-04-03 12,15.7,
108,서울,2017-04-03 13,17.5,
108,서울,2017-04-03 14,18.5,
108,서울,2017-04-03 15,19.0,
108,서울,2017-04-03 16,18.2,
108,서울,2017-04-03 17,18.0,
108,서울,2017-04-03 18,16.2,
108,서울,2017-04-03 19,14.0,
108,서울,2017-04-03 20,12.8,
108,서울,2017-04-03 21,11.7,
108,서울,2017-04-03 22,10.9,
108,서울,2017-04-03 23,10.0,
108,서울,2017-04-04 00,9.5,
108,서울,2017-04-04 01,8.9,
108,서울,2017-04-04 02,8.5,
108,서울,2017-04-04 03,8.0,
108,서울,2017-04-04 04,7.4,
108,서울,2017-04-04 05,7.2,
108,서울,2017-04-04 06,7.0,
108,서울,2017-04-04 07,6.7,
108,서울,2017-04-04 08,8.8,
108,서울,2017-04-04 09,11.7,
108,서울,2017-04-04 10,15.1,
108,서울,2017-04-04 11,16.9,
108,서울,2017-04-04 12,19.0,
108,서울,2017-04-04 13,20.4,
108,서울,2017-04-04 14,21.3,
108,서울,2017-04-04 15,21.4,
108,서울,2017-04-04 16,20.8,
108,서울,2017-04-04 17,19.5,
108,서울,2017-04-04 18,17.7,
108,서울,2017-04-04 19,15.6,
108,서울,2017-04-04 20,14.7,
108,서울,2017-04-04 21,14.3,
108,서울,2017-04-04 22,14.0,
108,서울,2017-04-04 23,13.6,
108,서울,2017-04-05 00,13.3,
108,서울,2017-04-05 01,13.2,
108,서울,2017-04-05 02,12.8,
108,서울,2017-04-05 03,12.3,
108,서울,2017-04-05 04,11.9,
108,서울,2017-04-05 05,11.5,
108,서울,2017-04-05 06,11.4,0.0
108,서울,2017-04-05 07,11.6,0.0
108,서울,2017-04-05 08,11.9,0.0
108,서울,2017-04-05 09,11.9,0.2
108,서울,2017-04-05 10,12.5,
108,서울,2017-04-05 11,13.1,0.0
108,서울,2017-04-05 12,14.0,0.1
108,서울,2017-04-05 13,14.1,0.1
108,서울,2017-04-05 14,13.4,0.1
108,서울,2017-04-05 15,12.4,2.0
108,서울,2017-04-05 16,11.2,4.5
108,서울,2017-04-05 17,10.8,4.5
108,서울,2017-04-05 18,10.8,2.5
108,서울,2017-04-05 19,10.8,4.0
