,country,lon,lat
1,Germany,8.430539,50.076416
2,Germany,10.133429,48.732418
3,United States,-74.532537,40.605091
4,United States,-74.491725,40.617153
5,France,-0.55892,44.84461
6,United States,-73.839851,40.704624
7,United States,-77.006569,39.029933
8,United States,-76.979242,39.053414
9,United States,-77.05209,38.970858
10,New Zealand,174.766357,-41.282173
11,Germany,10.207129,48.923981
12,United States,-77.05209,38.970858
13,Spain,-3.49,40.32
14,United States,-76.9731,39.046367
15,Japan,138.589148,35.163067
16,Germany,10.910711,48.689373
17,United States,-77.02858,39.060316
18,United States,-77.311159,38.736044
19,United States,-76.697168,39.304677
20,Germany,10.183811,48.87973
21,Germany,10.133429,48.732418
22,United States,-76.543622,39.348361
23,South Korea,127.343653,36.355305
24,Germany,10.319209,49.069298
27,Germany,10.133429,48.732418
33,Germany,10.290451,48.873989
36,France,2.67419,48.84463
55,Russia,39.742782,43.764419
56,Australia,150.535653,-34.61324403
57,United States,-77.067147,39.001666
58,Germany,13.67697,51.035366
59,Germany,8.657827,50.126633
60,United States,-77.066938,39.002171
61,United States,-77.144718,39.10664
62,United States,-76.790445,39.236384
63,United Kingdom,-3.95219,51.63756
64,United States,-74.099673,40.636742
65,Portugal,-25.670897,37.748833
66,United States,-74.699194,40.370992
67,Germany,13.406345,52.448563
68,United States,-73.561431,40.860819
70,South Korea,126.470986,36.778542
71,Germany,8.788633,50.803802
72,France,0.5814,43.64679
73,Germany,14.984622,51.135983
74,France,2.21903,48.8698
75,Germany,10.133429,48.732418
76,Austria,12.159912,47.58353
78,South Korea,126.583564,36.742306
79,Austria,12.171875,47.584263
80,Germany,10.133429,48.732418
81,Germany,8.716187,49.411076
82,United States,-77.039032,38.980649
83,South Korea,127.34909,36.356315
85,China,121.552157,31.215394
86,Japan,138.942075,35.807303
87,Spain,-3.69,40.41
88,Spain,2.06,41.48
89,Japan,138.833848,35.199088
90,Australia,151.061162,-33.74020203
91,Australia,150.952416,-34.27761103
92,United States,-77.047612,38.973364
93,United States,-76.978775,38.997958
94,Germany,13.417997,52.43409
95,Japan,139.040588,35.36576
96,Japan,140.7593,39.2918
97,United States,-77.062542,38.945273
98,Japan,141.78,39.9633
99,Japan,139.142232,35.439939
100,South Korea,126.391535,36.763757
101,France,2.23964,48.88475
102,Japan,139.040588,35.374092
103,United States,-73.789469,41.016139
