"","country","lon","lat"
"3","Japan",141.271679,43.088708
"5","Germany",9.777231,53.715046
"6","United States",-90.266667,38.616667
"7","Russia",158.323333,53.234722
"8","China",115.42452,39.95724
"9","China",128.26089,42.06022
"10","China",115.42452,39.95724
"13","Russia",141.818,52.1086
"14","Germany",7.466927,51.480526
"15","China",93.0749,29.9988
"16","China",99.8842,27.4758
"17","China",99.8975,27.4625
"18","China",99.8975,27.4625
"19","China",100.298,31.1947
"20","China",99.0586,30.0814
"21","China",100.296,30.3117
"22","China",115.574,39.8389
"23","Russia",156.85,53.25
"24","China",99.7178,31.8131
"25","China",99.7278,31.8292
"26","China",100.964,31.9822
"27","China",98.811944,28.179722
"28","Russia",142.921167,50.614983
"30","China",98.87916,28.53722
"36","Russia",142.247933,46.977317
"37","Russia",142.247933,46.977317
"40","China",103.695,34.065833
"41","China",96.6497,29.4819
"42","China",100.799444,32.790278
"43","Germany",11.961335,51.488895
"46","China",100.62,34.65
"47","China",99.9283,29.1411
"49","China",92.02,30.02
"50","China",92.38,29.05
"51","China",102.420556,36.922222
"52","China",101.928056,35.334722
"53","China",102.433889,36.977778
"54","China",93.08,29.08
"55","China",92.38,29.03
"57","China",93.08,29.08
"58","Russia",89.39808,60.72067
"59","Russia",89.43087,60.80789
"60","Japan",139.23686,36.77456
"61","Russia",89.67568,60.86439
"62","China",100.23,27.08
"64","China",97.3472,32.7464
"65","China",97.347222,32.746389
"66","China",93.5,30.6
"67","Japan",137.383333,36.583333
"68","China",99.43,30.27
"69","China",101.45,30.07
"71","China",98.45,29.72
"72","Japan",137.466667,36.466667
"73","China",93.93,30
"74","China",93.22,28.97
"75","China",93.22,28.97
"76","China",96.05,31.17
"77","China",92.77,29.92
"79","China",99.12,31.87
"80","China",99.12,31.87
"81","China",128.833333,42.333333
"82","China",98.2,31.45
"83","China",102.65,31.95
"84","China",102.65,31.95
"85","China",102.65,31.95
"86","China",102.65,31.95
"87","China",102.6,31.83
"88","China",102.78,31.67
"89","China",101.32,36.92
