"kind","country","lon","lat"
"Chionanthus retusus","Taiwan",120.695,24.3076
"Chionanthus retusus","Taiwan",121.535965,25.018145
"Chionanthus retusus","Taiwan",120.983708,24.787416
"Chionanthus retusus","United States",-95.344498,29.723148
"Chionanthus retusus","Taiwan",121.52327,25.117597
"Chionanthus retusus","Russia",39.744113,43.764993
"Chionanthus retusus","United States",-90.259782,38.612578
"Chionanthus retusus","United States",-73.880556,40.866389
"Chionanthus retusus","United States",-73.8814,40.8661
"Chionanthus retusus","United States",-77.0544,38.8222
"Chionanthus retusus","United States",-73.872667,40.859983
"Chionanthus retusus","United States",-95.712647,39.020134
"Chionanthus retusus","United States",-95.712647,39.020134
"Chionanthus retusus","United States",-95.7204,39.018
"Chionanthus retusus","United States",-95.712647,39.020134
"Chionanthus retusus","United States",-95.712647,39.020134
"Chionanthus retusus","United States",-95.712647,39.020134
"Chionanthus retusus","Canada",-123.233333,49.25
"Chionanthus retusus","United States",-73.8811,40.8661
"Chionanthus retusus","United States",-81.9314,34.9586
"Chionanthus retusus","United States",-90.258611,38.610833
"Chionanthus retusus","United States",-82.3478,29.6467
"Chionanthus retusus","China",98.819722,28.186111
"Chionanthus retusus","Taiwan",120.961944,24.876667
"Chionanthus retusus","Taiwan",120.754722,24.274444
"Chionanthus retusus","Taiwan",120.805827,23.827581
"Chionanthus retusus","United States",-81.2167,34.05
"Chionanthus retusus","North Korea",125,37
"Chionanthus retusus","Taiwan",120.949555,23.856961
"Chionanthus retusus","United States",-81.45,28.5
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",110.701804,32.583831
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",114.514242,26.32496
"Chionanthus retusus","China",114.514242,26.32496
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","Australia",150.434205445895,-33.5318845367295
"Chionanthus retusus","Japan",127.833333,26.2
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","China",117.578709,28.946467
"Chionanthus retusus","China",102.577962,26.634503
"Chionanthus retusus","China",102.577962,26.634503
"Chionanthus retusus","China",102.577962,26.634503
"Chionanthus retusus","China",102.577962,26.634503
"Chionanthus retusus","China",101.96483,30.055305
"Chionanthus retusus","China",101.96483,30.055305
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",119.506767,34.608663
"Chionanthus retusus","China",119.506767,34.608663
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",101.324329,25.722146
"Chionanthus retusus","China",115.399242,30.78311
"Chionanthus retusus","China",104.371458,33.784801
"Chionanthus retusus","China",115.399242,30.78311
"Chionanthus retusus","China",102.265266,27.897245
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","China",113.375494,31.716705
"Chionanthus retusus","Taiwan",121.515833,25.093889
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",99.28717,27.177166
"Chionanthus retusus","Taiwan",121.535833,25.015833
"Chionanthus retusus","China",102.265266,27.897245
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",103.248771,27.696857
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",117.862004,29.247988
"Chionanthus retusus","China",119.506767,34.608663
"Chionanthus retusus","China",119.506767,34.608663
"Chionanthus retusus","China",119.506767,34.608663
"Chionanthus retusus","China",118.354393,34.36929
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",103.82211,25.60048
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",120.406916,31.237023
"Chionanthus retusus","China",120.406916,31.237023
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",116.313296,29.342342
"Chionanthus retusus","China",103.003972,25.275367
"Chionanthus retusus","China",118.797741,32.055645
"Chionanthus retusus","China",114.512128,37.286713
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",115.989221,29.671778
"Chionanthus retusus","China",114.512128,37.286713
"Chionanthus retusus","China",115.989221,29.671778
