"","country","lon","lat"
"4","Russia",39.742178,43.763768
"5","Japan",139.540546,35.365776
"7","United States",-90.259783,38.611233
"105","Japan",139.71211,35.6556
"106","Japan",139.34375,35.5875
"110","Japan",135.23125,35.129167
"121","United States",-95.2627,38.9528
"122","United States",-95.2467,38.9584
"132","Japan",135.74524,34.37744
"133","Japan",135.74524,34.37744
"139","United States",-95.2467,38.9584
"141","United States",-95.2467,38.9584
"171","Japan",140.15086,36.08362
"210","China",114.381419,30.561162
"257","United States",-122.27167,37.87167
"271","China",107.990638,33.524483
"298","North Korea",125.833336,39.066666
"299","South Korea",128.40389,36.08333
"303","Japan",139.663138,36.385092
"312","Japan",34.36,34.36
"313","Japan",139.663138,36.385092
"380","China",114.381419,30.561162
"400","Spain",-2.156,43.255001
"409","China",111.024849,29.698007
"410","China",111.024849,29.698007
"430","China",110.871148,30.222233
"489","Japan",34.44,34.44
"495","China",116.425,40.991667
"528","China",110.701804,32.583831
"537","China",118.579798,32.872269
"538","China",115.399242,30.78311
"557","Japan",139.5,35.75
"558","Japan",34.37,34.37
"576","China",106.951604,34.426735
"577","China",106.951604,34.426735
"578","China",99.28717,27.177166
"579","China",106.951604,34.426735
"594","Japan",136.447038,36.411886
"602","United States",-84.5,43.75
"612","Japan",139.70848,35.73403
"616","China",111.155751,31.731334
"617","China",115.681453,30.735298
"618","China",110.871148,30.222233
"619","China",110.871148,30.222233
"657","Japan",139.528047,35.340778
"672","Japan",139.272921,35.647673
"680","China",111.482595,33.298368
"681","China",111.482595,33.298368
"682","China",111.482595,33.298368
"683","China",118.875568,29.578225
"694","China",118.431373,29.866159
"695","China",118.431373,29.866159
"696","China",117.485572,30.605847
"701","China",107.990638,33.524483
"702","China",107.990638,33.524483
"720","Japan",139.68756,35.62937
"741","China",121.469269,31.238176
"743","Japan",139.59155,35.76625
"758","China",104.43684,31.893892
"759","China",107.545509,33.222857
"760","China",103.398589,29.496119
"764","China",119.366283,30.196022
"765","China",119.366283,30.196022
"768","South Korea",127.834773,36.37509
"771","Japan",139.70848,35.73403
"772","Japan",139.70848,35.73403
"776","Japan",140.459,40.614
"778","Japan",140.459,40.614
"779","United States",-76.496608,42.440628
"794","Japan",139.3147,35.4639
"803","Japan",129.8781,32.750036
"807","Japan",139.703283,35.625056
"811","China",116.083333,31
"817","South Korea",127.386375,36.364881
"819","Japan",139.272852,35.646756
"821","South Korea",128.475471,36.072637
"828","Japan",139.272852,35.646756
"830","South Korea",127.386336,36.364889
"833","Japan",139.744432,35.719961
"840","Japan",139.272852,35.646756
"844","Japan",139.272852,35.646756
"845","South Korea",126.563639,35.487139
"846","Sweden",18.0471,59.37
"852","South Korea",127.386289,36.364906
"860","Japan",138,36
"870","Japan",139.272852,35.646756
"871","South Korea",126.426472,35.300389
"879","Sweden",11.950755,57.683237
"881","South Korea",127.386222,36.364828
"882","South Korea",127.112,36.196
"884","Japan",139.272852,35.646756
"888","Japan",139.272852,35.646756
"889","Japan",139.272852,35.646756
"890","Japan",139.744432,35.719961
"914","South Korea",127.386428,36.364869
"924","South Korea",128.906433,36.134203
"926","China",116.083333,31
"936","Libya",23.633333,23.933333
"938","South Korea",126.445722,35.400972
"941","South Korea",126.612139,35.269278
"943","Libya",23.633333,23.933333
"944","Japan",138,36
"955","Japan",139.272852,35.646756
"961","Japan",139.272852,35.646756
"970","Japan",139.272852,35.646756
"974","South Korea",127.38625,36.364828
"976","Japan",139.744432,35.719961
"981","Japan",139.272852,35.646756
