"","country","lon","lat"
"1","Germany",7.950153,51.616657
"2","Germany",12.944847,48.492023
"3","Japan",139.577178,35.700723
"4","Japan",139.096683,35.237218
"5","Germany",13.417997,52.43409
"6","Germany",7.950153,51.616657
"10","Germany",11.04126,51.886665
"11","Russia",39.743955,43.76503
"12","Russia",39.744015,43.763805
"13","Japan",139.871485,36.403837
"14","United States",-74.724928,40.294186
"15","Germany",10.705104,53.884766
"17","Germany",8.657827,50.126633
"18","Germany",12.944847,48.492023
"19","Japan",141.78,39.9633
"20","Japan",140.99564,39.62372
"21","Germany",7.950153,51.616657
"22","United States",-90.259722,38.611389
"23","Japan",141.348723,39.275537
"24","United States",-76.957,38.9163
"25","Japan",141.347485,39.285626
"26","United States",-73.8792,40.87
"28","Germany",12.944847,48.492023
"29","Japan",138.11951,36.53367
"30","Japan",141.54353,40.00031
"33","United States",-73.875347,40.8654
"34","Japan",139.614722,37.223611
"35","Estonia",26.72083,58.38472
"36","Japan",141.51684,40.289095
"38","Germany",8.661882,50.126057
"40","Germany",12.944847,48.492023
"77","Japan",140.08757,36.34574
"94","Germany",8.657806,50.125031
"95","Japan",139.191111,36.5425
"96","Germany",8.657827,50.126633
"104","France",7.39684,48.44382
"108","Japan",143.185556,42.904444
"109","Japan",138.19467,36.64853
"110","Germany",8.473232,49.956963
"111","Japan",140.939,43.177
"113","Japan",137.033333,36.616667
"115","Japan",140.851944,37.79
"116","Japan",140.090833,37.655278
"117","Japan",139.284722,36.606111
"118","Japan",141.048,43.167
"120","Japan",138.51978,36.24501
"121","Japan",141.048,43.167
"122","Japan",137.033333,36.616667
"123","Japan",138.11298,36.03875
"124","Japan",138.11951,36.53367
"125","Japan",138.30464,36.73372
"126","Japan",140.781667,37.799444
"127","Japan",138.11951,36.53367
"128","Japan",137.766667,35.45
"129","Japan",138.31828,36.27084
"133","Japan",138.15018,36.48603
"136","Japan",138.15952,36.71541
"138","Japan",138.15952,36.71541
"139","Japan",138.23363,36.64264
"140","Japan",141.223611,41.3125
"145","Japan",141.36875,40.1875
"146","Japan",138.801667,36.476667
"147","Japan",140.961,43.149
"148","Japan",140.214167,37.112222
"149","Japan",141.41692,42.75134
"151","Luxembourg",6.13,49.61
"152","Luxembourg",6.22,49.79
"153","Luxembourg",6.1,49.75
"155","Luxembourg",6.11,49.62
"156","Japan",137.183333,36.7
"157","Japan",138.588056,36.523889
"158","Japan",140.074167,37.684444
"159","Japan",138.347465,36.523896
"160","Japan",138.347465,36.523896
"161","Japan",138.559167,36.527778
"164","Japan",138.559839,35.270678
"165","Japan",138.24303,36.71737
"166","Japan",136.440556,36.315556
"167","Japan",138.24303,36.71737
"168","Japan",136.440528,36.315469
"173","Japan",138.03993,35.54695
"177","Japan",140.766667,37.766667
"179","Japan",133.603056,35.298056
"183","Japan",140.981,43.234
"184","Japan",134.520154,34.130804
"185","Japan",137.99472,36.13334
"190","Japan",137.99472,36.13334
"191","Japan",141.369444,39.651389
"192","Japan",141.369444,39.651389
"193","Japan",141.369306,39.65125
"194","Japan",141.016667,39.753194
"206","Japan",140.73387,41.97717
"214","Japan",140,37
"215","Japan",137.97874,36.50642
"216","Japan",139.88283,36.55595
"217","Japan",140.9156,43.189
"218","Japan",138.58,36.518611
"219","Japan",134.112778,35.150833
"223","Japan",133.541694,35.077361
"233","Japan",137.1,36.65
"234","Japan",140.915,43.1968
"236","United States",-88.0669,41.8181
"246","Japan",138.612778,36.501944
"251","Japan",138.47711,36.24886
"252","Japan",139.8968,39.0679
"254","Japan",138.47711,36.24886
"262","Japan",138.016667,36.483333
"282","Japan",133.642222,35.302778
"286","Japan",133.930833,35.256389
"289","Japan",133.566222,35.161722
"291","Japan",140.45,37.666667
"292","Japan",138.23433,36.75557
"295","Japan",138.23433,36.75557
"296","Japan",133.677778,35.28
"298","Japan",138.23433,36.75557
"300","Japan",137.8494,36.50323
"319","Japan",133.643333,35.309722
"320","Japan",138.16766,36.72202
"321","Japan",138.16766,36.72202
"322","Japan",138.16766,36.72202
"323","Japan",138.16766,36.72202
"324","Japan",138.19467,36.64853
"325","Japan",137.86191,36.3968
"326","Japan",137.86191,36.3968
"327","Japan",138.19467,36.64853
"328","Japan",137.86191,36.3968
"329","Japan",138.19467,36.64853
"335","Japan",133.901056,34.970917
"344","North Korea",125,39
"346","Japan",138.19467,36.64853
"355","New Zealand",174.9,-37.783333
"361","Japan",140.833333,38
"362","Japan",139.90747,39.20285
"363","Japan",139.90747,39.20285
"365","Japan",139.90747,39.20285
"366","Japan",139.90747,39.20285
"367","Japan",139.90747,39.20285
"373","Japan",140.04892,39.3858
"374","Japan",140.29922,40.06161
"375","Japan",140.04892,39.3858
"379","Japan",140.04892,39.3858
"380","Japan",140.04892,39.3858
"382","Japan",140.78957,40.21439
"383","Japan",140.78957,40.21439
"384","Japan",140.78957,40.21439
"385","Japan",140.78957,40.21439
"386","Japan",140.04892,39.3858
"387","Japan",140.04892,39.3858
"391","Japan",140.02666,40.21227
"395","Japan",140.72998,39.69967
"396","United States",-73.88,40.85
"397","United States",-73.88,40.85
"402","Japan",136.833333,36.683333
"403","Japan",136.95,36.75
"404","Japan",136.95,36.75
"405","Japan",136.95,36.75
"408","Japan",137.166667,36.683333
"409","Japan",136.833333,36.683333
"410","Japan",137.133333,36.683333
"411","Japan",137.183333,36.7
"413","Canada",-122.766667,49.25
"415","Japan",137.116667,36.65
"416","Japan",137.15,36.666667
"418","Japan",137.133333,36.683333
"419","Japan",139.5152,35.51683
"421","Japan",140.72998,39.69967
"425","Japan",140.72998,39.69967
"426","Japan",137.133333,36.683333
"427","Japan",140.72998,39.69967
"428","Japan",137.183333,36.7
"434","Japan",137.133333,36.666667
"436","Japan",138.02597,36.42019
"437","Japan",136.933333,36.75
"439","Japan",138.02597,36.42019
"441","Japan",139.91037,39.01503
"445","Japan",140.72998,39.69967
"447","Japan",140.10292,39.71988
"448","Japan",139.91037,39.01503
"449","Japan",139.91037,39.01503
"450","Japan",136.816667,36.683333
"459","Japan",133.7925,35.245
"462","Japan",140.39261,39.22379
"463","Japan",140.49423,39.15837
"464","Spain",-2.67,42.84
"465","Japan",140.333333,39.616667
"467","Japan",137.133333,36.683333
"470","Japan",134.531404,34.045758
"473","Japan",136.916667,36.4
"474","Japan",140.74759,40.32619
"475","Japan",140.74759,40.32619
"477","Japan",140.74759,40.32619
"478","Japan",140.74759,40.32619
"479","Japan",140.74759,40.32619
"482","Japan",141.14586,39.30051
"483","Japan",133.591389,35.252778
"487","Japan",137.1,36.65
"488","Japan",139.90747,39.20285
"491","Japan",133.39575,34.931139
"495","United States",-73.875306,40.865817
"496","United States",-73.875306,40.864044
"497","United States",-73.875306,40.865817
"499","United States",-73.875306,40.865817
"500","Japan",137.2,36.583333
"501","United States",-73.875306,40.864044
"502","Japan",137.2,36.583333
"503","United States",-73.875306,40.864044
"506","Japan",140.37067,40.22612
"507","Japan",134.531404,34.045758
"508","Japan",137.35,36.75
"509","Japan",134.531404,34.045758
"510","Japan",134.531404,34.045758
"511","Japan",140.37067,40.22612
"512","Japan",134.531404,34.045758
"513","Japan",137.166667,36.7
"515","Japan",140.47559,39.4533
"516","Japan",140.04892,39.3858
"518","United States",-73.875306,40.864917
"519","United States",-73.875306,40.864917
"521","Japan",139.84758,39.8867
"523","Canada",-122.766667,49.25
"524","Japan",139.84758,39.8867
"526","Japan",139.84758,39.8867
"528","Japan",137.166667,36.683333
"530","Japan",133.349167,35.067222
"531","Japan",144.38171,42.98497
"533","Japan",139.286225,36.856411
"535","Japan",139.286225,36.856411
"536","Japan",138.02597,36.42019
"538","South Korea",126.833333,35.9
"539","France",7.81823,48.60769
"540","Japan",140.3463,38.25773
"541","Japan",137.15,36.666667
"542","Japan",136.966667,36.85
"543","Japan",136.966667,36.85
"546","Japan",137.166667,36.683333
"550","Japan",133.375139,34.929861
"552","Japan",141.29976,42.94598
"553","France",7.81823,48.60769
"554","Japan",139.633331,35.466667
"560","Japan",139.90747,39.20285
"561","Japan",140.58763,39.46578
"567","Japan",138.016667,36.25
"568","Japan",137.016667,36.783333
"569","Japan",138.016667,36.25
"570","Japan",139.90747,39.20285
"572","Japan",139.90747,39.20285
"573","Japan",140.47559,39.4533
"575","Japan",139.7393,37.05857
"579","Japan",139.1625,36.543611
"595","Japan",139.90747,39.20285
"596","Japan",138.783333,35.466667
"597","Japan",139.90747,39.20285
"604","Japan",140.10292,39.71988
"610","Japan",139.02504,35.1891
"611","Japan",139.02504,35.1891
"612","Japan",138.79526,37.31374
"620","Japan",140.04892,39.3858
"621","Japan",140.06958,40.25462
"622","Japan",141.30298,38.43376
"625","Japan",138.644722,36.355833
"630","Japan",139.358056,36.445278
"633","Japan",139.84758,39.8867
"634","Japan",139.84758,39.8867
"637","Japan",139.84758,39.8867
"639","Japan",137,36
"640","Japan",137.995047,36.143167
"642","Japan",137.35,36.766667
"643","Japan",138.605556,36.455556
"644","Japan",139.666672,35.650002
"646","United States",-121.846111,39.7299999990724
"647","Japan",140.10284,39.71817
"649","Japan",137.88739,36.40036
"658","Japan",139.463056,36.261944
"663","Japan",140.36044,38.19881
"664","Japan",138.19467,36.64853
"667","Japan",139.32764,35.31932
"672","Japan",137.3,36.6
"673","Japan",138.505,36.540833
"679","Japan",138.32393,36.52741
"680","Japan",139.76567,38.71705
"681","Japan",138.32393,36.52741
"685","Japan",136.85,36.533333
"686","Japan",136.9,35.983333
"687","Japan",136.9,35.983333
"690","Sweden",18.297671,57.641842
"692","Japan",140.3426,38.8407
"704","Japan",137.383333,36.65
"705","Japan",136.633333,36.45
"713","Japan",140.47559,39.4533
"714","Japan",140.47559,39.4533
"718","Japan",141.18427,39.76996
"719","Japan",140.36044,38.19881
"725","Japan",144.434069,43.557941
"730","Japan",138.633333,36.35
"732","Japan",135.50421,35.48575
"733","Japan",135.50421,35.48575
"744","Japan",137.65,36.95
"748","Japan",139.176389,36.481667
"751","Japan",139.062222,36.758889
"763","Japan",139.213056,36.700278
"774","Japan",139.165556,36.525833
"789","Japan",134.290289,33.981291
"790","Japan",137.383333,36.65
"795","Japan",140.02997,38.11724
"796","Japan",140.1786,38.0571
"799","Japan",140.2455,38.0391
"800","Japan",137.466667,36.916667
"802","Japan",136.482223,36.343792
"805","Japan",137.466667,36.916667
"809","Japan",140.4159,38.3838
"810","Japan",140.1425,38.07417
"813","Japan",141.1626,39.182
"817","Japan",140.17,38.3217
"818","Japan",137.566667,36.783333
"819","Japan",137.566667,36.783333
"820","Japan",137.566667,36.783333
"843","United States",-77.0306,38.8892
"872","New Zealand",175,-37
"879","Japan",139.703283,35.625056
"884","Japan",139.272852,35.646756
"889","Japan",139.272852,35.646756
"894","Netherlands",6.166492,51.344589
"895","Sweden",18.0471,59.37
"904","Netherlands",6.166492,51.344589
"906","Japan",139.272852,35.646756
"908","South Korea",127.216667,37.75
"917","Japan",139.272852,35.646756
"923","Sweden",18.0471,59.37
"924","Japan",140.402,41.142
"926","Japan",138,36
"936","Japan",139.272852,35.646756
"941","Netherlands",6.166492,51.344589
"944","Japan",139.272852,35.646756
"945","Netherlands",6.166492,51.344589
"949","Netherlands",6.166492,51.344589
"956","Netherlands",6.166492,51.344589
"957","Japan",139.272852,35.646756
"960","Japan",139.272852,35.646756
"961","Japan",139.272852,35.646756
"963","Japan",139.272852,35.646756
"964","Netherlands",6.166492,51.344589
"972","Netherlands",6.166492,51.344589
"977","Netherlands",6.166492,51.344589
"983","Sweden",11.950755,57.683237
"984","Netherlands",6.166492,51.344589
"990","Japan",139.272852,35.646756
"991","New Zealand",174.90018,-37.78155
"994","Sweden",18.0471,59.37
"995","Netherlands",6.166492,51.344589
"1009","Japan",143.02581,42.1079
"1011","Japan",139.272852,35.646756
"1024","Japan",139.272852,35.646756
"1028","Japan",137.99083,37.56222
"1031","Netherlands",6.166492,51.344589
"1036","Japan",138,36
"1038","Russia",83,56
"1048","Netherlands",6.166492,51.344589
"1052","United Kingdom",34.508333,51.425
"1057","Japan",139.459741,35.640806
"1059","Sweden",11.950755,57.683237
"1062","Japan",137.99083,37.56222
"1063","South Korea",127.216667,37.75
"1071","Japan",138,36
"1072","Japan",139.272852,35.646756
"1074","Netherlands",6.166492,51.344589
"1084","Netherlands",6.166492,51.344589
"1088","Japan",139.272852,35.646756
"1091","Netherlands",6.166492,51.344589
"1103","Sweden",11.950755,57.683237
"1109","Japan",139.272852,35.646756
"1121","Netherlands",6.166492,51.344589
"1128","Japan",139.272852,35.646756
"1133","Netherlands",6.166492,51.344589
"1135","Netherlands",6.166492,51.344589
"1136","Japan",139.272852,35.646756
"1153","Japan",139.459741,35.640806
"1155","Japan",139.272852,35.646756
"1156","Sweden",11.950755,57.683237
"1157","India",88.4517,27.5544
"1159","Japan",139.272852,35.646756
"1160","Sweden",11.950755,57.683237
"1176","Canada",-123.25081,49.25408
"1182","Netherlands",6.166492,51.344589
"1185","Japan",139.272852,35.646756
"1190","Japan",139.272852,35.646756
"1191","Netherlands",6.166492,51.344589
"1192","Sweden",11.950755,57.683237
