"","country","lon","lat"
"1","South Korea",128.144531,37.456873
"2","South Korea",128.279972,37.60036
"3","South Korea",128.143158,37.459871
"4","South Korea",128.142815,37.459326
"6","Russia",135.383333,44.45
"127","Germany",13.391905,52.442459
"139","Germany",13.391905,52.442459
"140","Germany",8.723723,48.203396
"141","Japan",138.688889,36
"143","Russia",135.054382,48.286625
"145","Russia",135.038635,48.277279
"146","Russia",132.46581,43.58864
"147","Russia",132.42584,43.54887
"148","Russia",132.42584,43.54887
"149","Russia",133.67668,43.49187
"150","Russia",132.46581,43.58864
"151","Russia",133.67668,43.49187
"152","Russia",132.42584,43.54887
"153","Russia",132.50927,43.61065
"154","Germany",8.370466,49.218774
"158","Germany",7.431908,52.283545
"159","Germany",8.563671,49.328814
"160","Germany",8.980293,48.666365
"162","Germany",10.067468,54.173852
"164","Germany",14.115887,50.9694
"166","Germany",8.511143,50.55148
"167","Germany",8.588562,50.073447
"168","Germany",11.952829,50.629976
"170","Germany",11.952829,50.629976
"171","Germany",6.686528,51.193921
"173","Japan",138.196944,35.854444
"174","Germany",9.18911,50.437432
"175","Germany",7.83649,48.000194
"176","Germany",6.545445,51.270154
"178","Japan",137.449722,35.923028
"180","Germany",7.718067,48.000146
"181","Germany",10.168734,49.386604
"188","Japan",137.25186,36.14605
"189","Japan",137.25186,36.14605
"190","Germany",8.620589,49.676863
"191","Japan",137.25186,36.14605
"194","Japan",137.25186,36.14605
"211","Germany",11.72438,51.277218
"220","Japan",137.89966,36.30284
"222","Russia",131.999444,42.228333
"280","Japan",137.433333,36.45
"283","Japan",135.75,35.066667
"287","China",129.166667,42.333333
"288","Russia",132.98,42.8
"289","Japan",140.00429,40.10256
"300","Russia",131.96666,43.21666
"301","Russia",133.86027,43.175
"306","Russia",135.005799,48.21512
"320","Estonia",25.573171,58.371539
"343","Canada",-122.816667,49.25
"348","New Zealand",171.533447,-43.298328
"350","Japan",137.633333,36.483333
"353","Russia",132.227211,43.587178
"354","Russia",132.227211,43.587178
"370","Japan",136.666667,36.116667
"387","United States",-75.221011,40.088444
"392","Japan",135.6,34.883333
"399","China",128.514494,42.786504
"400","Russia",134.275338,43.137439
"420","New Zealand",177.716878,-38.564903
"429","China",123.799084,41.292753
"455","Japan",137.93719,35.76202
"470","Japan",137.994876,35.498173
"479","South Korea",127.4,38.183333
"480","South Korea",127.4,38.18
"482","South Korea",127.4,38.18
"483","South Korea",127.4,38.183333
"484","China",128.025012,46.986064
"485","Japan",139.698333,35.641111
"486","Japan",139.698333,35.641111
"487","Japan",135.77455,34.57366
"489","China",128.91852,47.775322
"492","Japan",134.290289,33.981291
"493","Japan",134.290289,33.981291
"494","Russia",134.57658,43.244516
"495","Russia",134.058008,43.18613
"496","Russia",134.10775,43.01908
"497","Russia",132.694829,43.167167
"498","Russia",137.391952,48.077277
"502","Japan",140.3301,38.2493
"503","Japan",140.45059,38.4176
"505","United States",-73.878143,40.862412
"506","United States",-73.964726,40.668063
"507","United States",-73.858746,41.076208
"517","Russia",132.801128,48.836966
"521","United States",-73.875413,40.856767
"528","China",128.514494,42.786504
"532","South Korea",128.35,34.98
"547","Japan",140.88,40.65
"548","Germany",11.163889,48.124722
"550","Netherlands",5.9,50.81
"564","Germany",11.564167,48.141667
"571","China",128.98778,42.43972
"572","South Korea",129.224,35.435
"574","South Korea",127.385033,36.367567
"576","Sweden",11.950755,57.683237
"578","Japan",139.272852,35.646756
"582","South Korea",127.385033,36.367603
"583","South Korea",129.225,35.434
"588","China",127.99056,42.39583
"594","South Korea",127.385058,36.36755
"595","New Zealand",177.71688,-38.5649
"599","South Korea",127.386075,36.3648
