"kind","country","lon","lat"
"Prunus x yedoensis","Japan",141.9679,39.8799
"Prunus x yedoensis","Japan",139.078083,35.390758
"Prunus x yedoensis","Japan",139.059689,35.179739
"Prunus x yedoensis","Japan",141.4273,38.8236
"Prunus x yedoensis","Japan",141.00011,39.59781
"Prunus x yedoensis","Japan",141.495867,39.579258
"Prunus x yedoensis","Japan",139.22807,35.440758
"Prunus x yedoensis","Japan",139.11559,35.182456
"Prunus x yedoensis","Japan",139.156984,35.447604
"Prunus x yedoensis","Japan",139.06559,35.265776
"Prunus x yedoensis","Japan",141.3607,39.2389
"Prunus x yedoensis","Japan",141.3607,39.2389
"Prunus x yedoensis","Japan",139.065589,35.215781
"Prunus x yedoensis","Japan",139.22807,35.424094
"Prunus x yedoensis","Japan",139.203071,35.424093
"Prunus x yedoensis","Japan",139.040588,35.499079
"Prunus x yedoensis","Japan",139.040593,35.207448
"Prunus x yedoensis","Japan",141.348723,39.275537
"Prunus x yedoensis","Japan",139.153075,35.474085
"Prunus x yedoensis","Japan",139.140576,35.482417
"Prunus x yedoensis","Japan",141.347485,39.285626
"Prunus x yedoensis","Japan",141.27174,38.803244
"Prunus x yedoensis","Japan",139.065585,35.482416
"Prunus x yedoensis","Japan",139.003093,35.407423
"Prunus x yedoensis","Japan",139.003093,35.415755
"Prunus x yedoensis","Japan",139.053091,35.224114
"Prunus x yedoensis","Japan",138.915602,35.40742
"Prunus x yedoensis","Japan",139.11558,35.39076
"Prunus x yedoensis","Japan",139.07405,35.166553
"Prunus x yedoensis","Japan",141.401,40.142
"Prunus x yedoensis","Japan",139.028093,35.315767
"Prunus x yedoensis","Japan",139.240569,35.424094
"Prunus x yedoensis","Japan",131.68125,32.7875
"Prunus x yedoensis","Japan",139.153076,35.424091
"Prunus x yedoensis","Japan",141.51684,40.289095
"Prunus x yedoensis","Japan",140.46875,40.404167
"Prunus x yedoensis","Japan",139.531389,36.226667
"Prunus x yedoensis","Japan",140.28448,36.24886
"Prunus x yedoensis","Japan",132.89375,33.554167
"Prunus x yedoensis","Japan",140.18037,36.38536
"Prunus x yedoensis","Japan",140.18037,36.38536
"Prunus x yedoensis","Japan",139.13902,35.65054
"Prunus x yedoensis","Japan",140.11875,38.7875
"Prunus x yedoensis","Japan",140.28448,36.24886
"Prunus x yedoensis","Japan",134.45625,35.4375
"Prunus x yedoensis","Japan",140.939,43.177
"Prunus x yedoensis","Japan",131.001389,32.246944
"Prunus x yedoensis","Japan",137.566667,36.666667
"Prunus x yedoensis","Japan",139.012222,35.853889
"Prunus x yedoensis","Japan",140.821111,37.783333
"Prunus x yedoensis","Japan",131.413889,31.780556
"Prunus x yedoensis","Japan",140.2401,39.2629
"Prunus x yedoensis","Japan",141.48125,39.8875
"Prunus x yedoensis","Japan",140.1875,39.5453
"Prunus x yedoensis","Japan",139.20625,35.579167
"Prunus x yedoensis","Japan",139.13125,35.554167
"Prunus x yedoensis","Japan",139.13125,35.554167
"Prunus x yedoensis","Japan",139.13125,35.554167
"Prunus x yedoensis","Japan",139.23125,35.5625
"Prunus x yedoensis","Japan",139.21875,35.545833
"Prunus x yedoensis","Japan",134.561111,35.649722
"Prunus x yedoensis","Japan",140.356667,37.710556
"Prunus x yedoensis","Japan",139.23125,35.5625
"Prunus x yedoensis","Japan",139.24375,35.545833
"Prunus x yedoensis","Japan",140.958611,39.392778
"Prunus x yedoensis","Japan",141.035,43.123
"Prunus x yedoensis","Japan",140.888333,39.348611
"Prunus x yedoensis","Japan",138.83125,35.379167
"Prunus x yedoensis","Japan",139.064722,36.374722
"Prunus x yedoensis","Japan",134.346361,35.131889
"Prunus x yedoensis","Japan",140.215,37.1125
