"","country","lon","lat"
"1","Japan",141.9679,39.8799
"2","Japan",139.078083,35.390758
"3","Japan",139.059689,35.179739
"4","Japan",141.4273,38.8236
"5","Japan",141.00011,39.59781
"6","Japan",141.495867,39.579258
"7","Japan",139.22807,35.440758
"8","Japan",139.11559,35.182456
"9","Japan",139.156984,35.447604
"10","Japan",139.06559,35.265776
"12","Japan",141.3607,39.2389
"13","Japan",141.3607,39.2389
"14","Japan",139.065589,35.215781
"15","Japan",139.22807,35.424094
"16","Japan",139.203071,35.424093
"17","Japan",139.040588,35.499079
"18","Japan",139.040593,35.207448
"19","Japan",141.348723,39.275537
"20","Japan",139.153075,35.474085
"21","Japan",139.140576,35.482417
"22","Japan",141.347485,39.285626
"23","Japan",141.27174,38.803244
"24","Japan",139.065585,35.482416
"25","Japan",139.003093,35.407423
"26","Japan",139.003093,35.415755
"27","Japan",139.053091,35.224114
"28","Japan",138.915602,35.40742
"29","Japan",139.11558,35.39076
"42","Japan",139.07405,35.166553
"44","Japan",141.401,40.142
"45","Japan",139.028093,35.315767
"64","Japan",139.240569,35.424094
"65","Japan",131.68125,32.7875
"66","Japan",139.153076,35.424091
"68","Japan",141.51684,40.289095
"70","Japan",140.46875,40.404167
"71","Japan",139.531389,36.226667
"112","Japan",140.28448,36.24886
"113","Japan",132.89375,33.554167
"116","Japan",140.18037,36.38536
"119","Japan",140.18037,36.38536
"122","Japan",139.13902,35.65054
"123","Japan",140.11875,38.7875
"125","Japan",140.28448,36.24886
"127","Japan",134.45625,35.4375
"128","Japan",140.939,43.177
"129","Japan",131.001389,32.246944
"131","Japan",137.566667,36.666667
"132","Japan",139.012222,35.853889
"135","Japan",140.821111,37.783333
"136","Japan",131.413889,31.780556
"137","Japan",140.2401,39.2629
"138","Japan",141.48125,39.8875
"140","Japan",140.1875,39.5453
"143","Japan",139.20625,35.579167
"144","Japan",139.13125,35.554167
"145","Japan",139.13125,35.554167
"146","Japan",139.13125,35.554167
"147","Japan",139.23125,35.5625
"148","Japan",139.21875,35.545833
"154","Japan",134.561111,35.649722
"157","Japan",140.356667,37.710556
"161","Japan",139.23125,35.5625
"164","Japan",139.24375,35.545833
"170","Japan",140.958611,39.392778
"181","Japan",141.035,43.123
"184","Japan",140.888333,39.348611
"190","Japan",138.83125,35.379167
"193","Japan",139.064722,36.374722
"203","Japan",134.346361,35.131889
"208","Japan",140.215,37.1125
"218","Japan",133.828611,35.043889
"221","Japan",137.35,36.6
"226","Japan",140.5,37.766667
"233","Japan",133.886667,34.845278
"234","Japan",140.109167,37.675
"237","Japan",140.961,43.149
"248","Japan",134.266667,33.916667
"258","Japan",135.79846,34.40693
"267","Japan",135.79846,34.40693
"268","Japan",140.074167,37.684444
"272","Japan",140.704444,37.773611
"273","Japan",135.79846,34.40693
"274","Japan",140.704444,37.773611
"275","Japan",135.79846,34.40693
"276","Japan",135.79846,34.40693
"277","Japan",140.704444,37.773611
"283","Japan",133.616667,33.7
"292","Japan",140.961,43.149
"296","Japan",140.124722,37.664722
"303","Japan",133.183333,33.75
"304","Japan",140.124722,37.664722
"305","Japan",139.354444,36.888333
"306","Japan",139.053097,35.14079
"309","Japan",132.816667,32.816667
"310","Japan",133.183333,33.333333
"314","Japan",133.533333,33.616667
"334","Japan",133.266667,33.766667
"341","Japan",140.676944,37.776667
"351","Japan",135.79846,34.40693
"365","Japan",136.833333,36.316667
"374","Japan",133.166667,33.266667
"383","Japan",140.766667,37.766667
"386","Japan",137.216667,36.533333
"388","Japan",135.79846,34.40693
"391","Japan",140.991,43.234
"393","Japan",138.775833,36.478889
"399","Japan",133.35,33.75
"407","Japan",140.41856,36.55079
"408","Japan",133.083333,33.583333
"409","Japan",133.183333,33.683333
"413","Japan",133.016667,33.466667
"419","Japan",134.05,33.55
"422","Japan",133.483333,33.833333
"425","Japan",135.91664,34.65667
"426","Japan",135.91664,34.65667
"435","Japan",140.05,37.733333
"437","Japan",133.75,33.833333
"439","Japan",132.683333,33.066667
"441","Japan",143.00992,42.15338
"443","Japan",141.8542,43.29019
"445","Japan",143.04585,42.15725
"450","Japan",135.84549,34.6846
"452","Japan",135.84549,34.6846
"456","Japan",132.9,32.883333
"457","Japan",135.84549,34.6846
"464","Japan",134.133333,33.333333
"470","Japan",133.85,33.516667
"481","Japan",133.15,33.45
"485","Japan",133.816667,33.7
"486","Japan",140.36012,36.77835
