"kind","country","lon","lat"
"Taxus cuspidata","Sweden",11.954429,57.683185
"Taxus cuspidata","Sweden",17.015116,58.752105
"Taxus cuspidata","Sweden",17.014765,58.751932
"Taxus cuspidata","United States",-84.0949,42.320229
"Taxus cuspidata","Sweden",14.736072,56.176778
"Taxus cuspidata","Russia",39.740247,43.759328
"Taxus cuspidata","Russia",39.744322,43.764171
"Taxus cuspidata","South Korea",126.46396,33.35729
"Taxus cuspidata","Canada",-76.359968,45.443711
"Taxus cuspidata","Canada",-76.360907,45.442527
"Taxus cuspidata","Canada",-76.360262,45.443304
"Taxus cuspidata","Canada",-76.359595,45.443982
"Taxus cuspidata","Canada",-76.359921,45.438857
"Taxus cuspidata","Canada",-76.358906,45.444408
"Taxus cuspidata","South Korea",126.463378,33.357035
"Taxus cuspidata","Canada",-76.360774,45.440542
"Taxus cuspidata","United States",-74.728473,40.29707
"Taxus cuspidata","United States",-74.729713,40.293995
"Taxus cuspidata","United States",-74.728433,40.297043
"Taxus cuspidata","United States",-74.728169,40.291931
"Taxus cuspidata","United States",-74.468229,40.51032
"Taxus cuspidata","Sweden",13.095146,55.779141
"Taxus cuspidata","United States",-74.729553,40.297367
"Taxus cuspidata","United States",-74.724525,40.301625
"Taxus cuspidata","United States",-74.719498,40.304076
"Taxus cuspidata","Canada",-76.359921,45.438857
"Taxus cuspidata","Sweden",14.25458,55.89922
"Taxus cuspidata","Sweden",14.270331,55.945249
"Taxus cuspidata","Sweden",14.25458,55.89922
"Taxus cuspidata","Canada",-79.158068,43.814556
"Taxus cuspidata","Sweden",11.954771,57.682455
"Taxus cuspidata","United States",-74.726949,40.292882
"Taxus cuspidata","Finland",24.91362,60.178245
"Taxus cuspidata","South Korea",126.446527,36.745904
"Taxus cuspidata","Sweden",14.736072,56.176773
"Taxus cuspidata","Sweden",14.736063,56.176703
"Taxus cuspidata","South Korea",126.549454,33.375648
"Taxus cuspidata","South Korea",126.446108,36.74593
"Taxus cuspidata","South Korea",127.636959,36.716922
"Taxus cuspidata","Canada",-76.359506,45.443763
"Taxus cuspidata","South Korea",126.948059,37.56361
"Taxus cuspidata","Sweden",12.015722,57.433977
"Taxus cuspidata","Canada",-76.361084,45.442498
"Taxus cuspidata","Canada",-76.359805,45.443477
"Taxus cuspidata","Canada",-76.360121,45.443302
"Taxus cuspidata","Sweden",13.076623,56.226165
"Taxus cuspidata","France",1.93651,48.84946
"Taxus cuspidata","Finland",24.913977,60.178295
"Taxus cuspidata","United States",-89.5756,44.5239
"Taxus cuspidata","Japan",141.312343,43.053828
"Taxus cuspidata","Finland",24.808432,60.164039
"Taxus cuspidata","Sweden",14.868789,56.176703
"Taxus cuspidata","Russia",142.871944,46.553611
"Taxus cuspidata","Japan",138.19467,36.64853
"Taxus cuspidata","Sweden",13.076003,56.22612
"Taxus cuspidata","Germany",13.404007,52.453918
"Taxus cuspidata","France",0.62513,42.7322
"Taxus cuspidata","South Korea",126.446822,36.745934
"Taxus cuspidata","United States",-81.252399,41.13132
"Taxus cuspidata","United States",-81.353097,41.080639
"Taxus cuspidata","Japan",140.8278,39.1777
"Taxus cuspidata","France",1.94355,48.84751
"Taxus cuspidata","Finland",25.074609,60.37947
"Taxus cuspidata","Russia",142.755556,46.964444
"Taxus cuspidata","Finland",25.432251,60.438743
"Taxus cuspidata","South Korea",126.446226,36.745971
"Taxus cuspidata","Canada",-113.525983,53.528937
