"","country","lon","lat"
"1","Germany",7.950153,51.616657
"2","Japan",139.774032,35.714775
"3","Taiwan",120.945198,24.278667
"4","Japan",139.120975,36.070727
"5","United States",-73.921141,40.723407
"7","Taiwan",120.307989,22.691345
"8","United States",-72.989,40.76811
"9","Russia",39.741142,43.762791
"10","United States",-74.423645,40.475921
"11","United States",-71.256858,42.367908
"12","United States",-121.746997,38.536272
"13","United States",-71.256858,42.367908
"14","Japan",139.064467,35.329709
"15","United States",-79.062929,35.881322
"16","United States",-73.877049,40.860395
"17","France",2.65145,48.79154
"18","United States",-122.773979,45.628759
"19","United States",-73.585202,41.004123
"20","United States",-74.417097,40.759823
"21","Japan",139.065591,35.24078
"22","Japan",139.117069,35.16625
"23","Japan",141.9679,39.8799
"24","Japan",141.9679,39.8799
"25","Japan",139.040588,35.36576
"26","United States",-74.457846,40.522044
"27","Japan",139.078083,35.43242
"28","Japan",139.091849,35.148477
"29","Germany",7.542286,51.515259
"30","Japan",139.178074,35.399095
"31","Japan",139.142232,35.439939
"32","Japan",138.93361,35.444056
"33","Japan",139.22807,35.440758
"34","Japan",141.4265,38.8208
"35","Japan",141.9679,39.8799
"36","United States",-74.461211,40.522769
"37","Japan",139.240569,35.3741
"38","United States",-74.43744,40.482693
"39","Germany",6.772787,51.209843
"40","United States",-69.662388,44.565774
"41","Germany",7.950153,51.616657
"42","Japan",139.503048,35.482426
"43","United States",-69.661292,44.564308
"44","Japan",139.403055,35.374103
"45","Japan",139.180944,35.339222
"46","United States",-90.260833,38.613889
"47","Japan",139.315562,35.424096
"48","Japan",139.115582,35.307439
"49","Japan",139.12808,35.315771
"50","Japan",141.27174,38.803244
"51","Japan",139.015596,35.265774
"52","Japan",141.3607,39.2389
"53","Japan",141.3607,39.2389
"54","Japan",139.003097,35.290769
"55","Japan",139.053086,35.474083
"56","Japan",139.503048,35.474094
"57","Japan",139.053086,35.474083
"58","Japan",140.340474,35.482438
"59","Japan",141.348723,39.275537
"60","Japan",140.42795,35.740745
"61","Japan",130.921181,35.124603
"62","Japan",139.178073,35.482418
"63","Japan",139.115579,35.415757
"64","United States",-74.42354,40.47589
"65","Japan",139.465549,35.482424
"66","Japan",139.065584,35.415754
"67","Japan",141.347485,39.285626
"68","Belgium",4.51225,51.25536
"69","Japan",139.003099,35.224113
"70","France",0.49301,43.97745
"71","Japan",139.065585,35.374093
"72","Japan",139.565544,35.34911
"73","Japan",139.153076,35.374098
"74","Japan",139.515548,35.407436
"78","Japan",139.178074,35.365766
"79","Japan",139.278066,35.415762
"80","Japan",140.914,40.155222
"81","Japan",139.203073,35.324106
"88","Japan",139.22807,35.382432
"89","Japan",141.401,40.142
"90","Japan",141.54353,40.00031
"91","Japan",139.140586,35.207454
"92","France",7.8,48.6
"93","United States",-81.642538,41.176995
"94","Japan",141.9818,39.4267
"95","Japan",141.9798,39.4272
"100","Japan",141.4054,40.1401
"101","Japan",139.003099,35.232445
"102","Japan",139.59054,35.507425
"103","Japan",139.265567,35.390765
"104","Japan",139.128082,35.282443
"106","Japan",139.178076,35.299109
"107","Japan",135.8013,35.0289
"109","United States",-121.83389,37.7450299990865
"110","United States",-121.833889,37.7449999990865
"112","Japan",134.69375,34.8375
"115","Japan",138.680833,36.081111
"116","Japan",131.88125,32.854167
"118","Japan",131.51875,32.7875
"119","Germany",9.777231,53.715046
"125","Japan",140.90625,40.2875
"126","United States",-95.230977,38.950063
"293","Japan",140.05827,36.20678
"301","Japan",132.60625,33.170833
"315","France",4.95758,46.11799
"317","Japan",140.41875,38.720833
"319","France",2.3598,48.84403
"325","United States",-73.878278,40.868436
"329","Japan",139.15912,35.58836
"330","Japan",137.197422,35.087686
"333","United States",-73.877683,40.868875
"334","Japan",130.568611,32.2025
"335","Japan",130.833333,32.121667
"336","Japan",139.610833,33.894167
"337","United States",-73.8761,40.8669
"338","Japan",140.939,43.177
"339","United States",-73.88236,40.8753
"340","United States",-73.866667,40.875556
"341","Japan",138.8675,35.792778
"342","Japan",138.953889,35.805
"344","Japan",131.210278,32.099167
